question_set,question,choice,"Organization","Issue area","Financial transparency","Accountability","Funding sources","Relationship with host government"
1,1,1,2,4,2,1,3,1
1,1,2,1,4,2,1,2,3
1,1,3,1,2,2,1,1,1
1,2,1,4,1,2,2,3,1
1,2,2,3,3,1,1,1,2
1,2,3,3,3,1,2,3,1
1,3,1,3,1,2,2,1,3
1,3,2,1,3,1,2,3,1
1,3,3,2,2,2,1,3,3
1,4,1,4,3,2,2,1,2
1,4,2,3,4,1,2,3,2
1,4,3,3,3,1,2,2,3
1,5,1,3,1,1,1,1,2
1,5,2,1,3,2,1,2,3
1,5,3,1,3,1,2,2,1
1,6,1,4,4,2,1,2,1
1,6,2,1,1,1,2,1,3
1,6,3,2,1,2,2,3,3
1,7,1,2,4,2,1,2,2
1,7,2,2,2,2,1,2,1
1,7,3,4,2,2,1,1,2
1,8,1,4,2,1,2,2,2
1,8,2,3,2,1,1,3,3
1,8,3,4,2,2,1,1,3
1,9,1,4,4,2,1,1,3
1,9,2,3,2,1,1,2,2
1,9,3,3,1,1,1,1,3
1,10,1,4,1,2,2,3,1
1,10,2,1,3,1,2,1,3
1,10,3,2,3,2,2,3,2
1,11,1,1,1,1,2,3,2
1,11,2,1,2,1,2,1,2
1,11,3,2,4,2,1,2,1
1,12,1,2,1,1,1,2,1
1,12,2,4,4,1,2,2,2
1,12,3,2,4,1,2,3,1
2,1,1,2,3,1,2,3,3
2,1,2,4,4,2,1,3,1
2,1,3,1,3,2,1,2,1
2,2,1,4,3,1,1,1,3
2,2,2,3,4,2,1,2,2
2,2,3,3,4,1,1,2,2
2,3,1,4,2,1,2,3,1
2,3,2,4,1,2,2,3,3
2,3,3,1,1,2,1,1,3
2,4,1,2,4,2,2,3,2
2,4,2,2,2,1,1,1,1
2,4,3,4,2,2,1,2,1
2,5,1,2,1,2,1,2,2
2,5,2,3,2,2,1,2,1
2,5,3,1,2,1,1,2,3
2,6,1,1,2,2,2,2,3
2,6,2,1,4,1,1,1,1
2,6,3,2,2,1,1,1,1
2,7,1,1,3,1,2,1,2
2,7,2,3,3,2,2,2,2
2,7,3,3,2,1,2,1,2
2,8,1,4,4,1,2,1,2
2,8,2,1,1,1,1,1,1
2,8,3,2,3,2,2,3,1
2,9,1,2,1,1,2,2,1
2,9,2,1,4,1,2,1,3
2,9,3,2,2,2,2,3,3
2,10,1,3,3,2,2,3,3
2,10,2,4,4,2,2,2,2
2,10,3,1,1,1,2,2,3
2,11,1,3,1,1,2,1,2
2,11,2,3,1,1,1,3,3
2,11,3,4,3,1,1,1,1
2,12,1,3,1,2,1,3,2
2,12,2,4,4,2,1,3,2
2,12,3,2,3,2,2,3,3
3,1,1,1,3,1,2,3,1
3,1,2,3,4,2,1,3,2
3,1,3,4,4,1,2,1,2
3,2,1,2,1,2,2,1,1
3,2,2,4,2,2,1,3,3
3,2,3,3,1,2,1,1,1
3,3,1,2,1,1,1,1,2
3,3,2,1,3,1,2,3,1
3,3,3,4,4,2,1,1,3
3,4,1,2,1,1,2,2,3
3,4,2,3,1,2,1,2,2
3,4,3,3,4,1,2,1,3
3,5,1,1,2,2,1,1,2
3,5,2,1,2,2,2,2,1
3,5,3,4,2,1,1,1,1
3,6,1,4,2,2,1,3,2
3,6,2,2,2,2,1,2,2
3,6,3,2,2,1,2,2,3
3,7,1,3,4,1,1,2,1
3,7,2,4,3,2,2,3,3
3,7,3,1,2,1,2,2,2
3,8,1,1,3,1,2,3,2
3,8,2,2,3,1,1,1,2
3,8,3,2,4,2,2,2,1
3,9,1,3,1,2,1,3,2
3,9,2,1,2,1,2,2,3
3,9,3,4,3,2,1,3,3
3,10,1,4,1,2,1,2,1
3,10,2,1,4,1,2,2,2
3,10,3,3,3,1,1,3,3
3,11,1,1,4,1,1,1,1
3,11,2,2,4,2,2,2,3
3,11,3,4,3,1,2,1,1
3,12,1,3,1,1,2,1,3
3,12,2,2,1,2,1,3,1
3,12,3,3,3,2,2,3,3
4,1,1,3,2,2,1,1,1
4,1,2,1,3,2,2,2,3
4,1,3,3,1,1,1,2,2
4,2,1,1,1,1,2,3,3
4,2,2,3,2,1,1,2,2
4,2,3,3,4,1,1,3,3
4,3,1,4,3,1,1,1,1
4,3,2,1,1,2,2,2,2
